pl_name,sy_snum,sy_pnum,cb_flag,disc_year,disc_locale,disc_facility,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pl_controv_flag,pl_orbper,pl_rade,pl_dens,ttv_flag,st_teff,st_rad,st_mass,st_lum,st_logg
Kepler-1793 b,1,1,0,2021,Space,Kepler,0,0,0,1,0,0,0,0,0,0,8.77999973,3.79,1.39,0,5191,0.76,0.85,-0.234,4.6
Kepler-1228 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,0.57736958,1.54,4.5,0,5063,0.74,0.78,-0.555,4.59
WASP-26 b,2,1,0,2010,Ground,SuperWASP,1,0,0,1,0,0,0,0,0,0,2.7566,13.563,0.703,0,6034,1.22,0.86,0.287,4.44
HD 145457 b,1,1,0,2010,Ground,Subaru Telescope,1,0,0,0,0,0,0,0,0,0,176.3,13.3,1.66,0,4769,10.52,1.23,1.655,2.48
HD 177830 b,2,2,0,1999,Ground,W. M. Keck Observatory,1,0,0,0,0,0,0,0,0,0,410.10001,13.5,1.2,0,4901,3.26,1.7,0.685,3.64
EPIC 246851721 b,2,1,0,2018,Space,K2,1,0,0,1,0,0,0,0,0,0,6.180235,11.781,3.1,0,6202,1.59,1.32,0.526,4.16
Kepler-750 b,1,2,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,9.42887179,3.07,1.83,0,6160,1.23,1.15,0.344,4.32
HD 10442 b,1,1,0,2014,Ground,W. M. Keck Observatory,1,0,0,0,0,0,0,0,0,0,1032.3,13.6,1.03,0,4912,1.97,1.01,0.31,3.19
Kepler-1815 b,1,1,0,2021,Space,Kepler,0,0,0,1,0,0,0,0,0,0,12.19139957,2.749,2.11,0,5516,0.97,0.86,-0.03,4.4
HAT-P-67 b,2,1,0,2017,Ground,HATNet,1,0,0,1,0,0,0,0,0,0,4.8101025,23.371,0.052,0,6406,2.55,1.64,0.939,3.85
EPIC 201427007 b,1,1,0,2021,Space,K2,0,0,0,1,0,0,0,0,0,0,0.72091,1.5,4.66,0,5633,0.94,0.93,-0.049,4.4
HATS-27 b,1,1,0,2016,Ground,HATSouth,1,0,0,1,0,0,0,0,0,0,4.637038,16.814,0.18,0,6438,1.74,1.42,0.669,4.11
HD 102956 b,2,1,0,2010,Ground,W. M. Keck Observatory,1,0,0,0,0,0,0,0,0,0,6.4947,13.8,0.638,0,4985,4.55,1.66,1.064,3.38
Kepler-964 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,13.5225106,2.12,2.96,0,5427,0.84,0.93,-0.306,4.55
HD 60532 c,1,2,0,2008,Ground,La Silla Observatory,1,0,0,0,0,0,0,0,0,0,600.1,13.3,1.86,0,6245,2.57,1.5,1.001,3.8
Kepler-171 d,1,3,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,39.595519,1.89,3.44,1,5642,0.84,0.91,-0.079,4.57
HD 222582 b,2,1,0,1999,Ground,W. M. Keck Observatory,1,0,0,0,0,0,0,0,0,0,572.38,12.6,7.31,0,5790,1.13,1.12,0.115,4.38
HATS-22 b,1,1,0,2017,Ground,HATSouth,1,0,0,1,0,0,0,0,0,0,4.7228124,10.682,3.89,0,4803,0.69,0.76,-0.646,4.64
HD 11506 b,1,2,0,2007,Ground,W. M. Keck Observatory,1,0,0,0,0,0,0,0,0,0,1622.1,12.9,3.93,0,6030,1.34,1.24,0.33,4.43
Kepler-1323 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,0.92990668,1.52,4.57,0,6169,1.4,1.18,0.295,4.21
CoRoT-6 b,1,1,0,2009,Space,CoRoT,1,0,0,1,0,0,0,0,0,0,8.886593,13.068,2.32,0,6090,1.02,1.05,0.026,4.43
Kepler-885 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,18.11472949,2.5,2.39,0,6187,1.35,1.21,0.417,4.26
Kepler-515 b,2,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,19.96371318,1.46,4.82,0,5293,0.83,0.9,-0.312,4.55
